act,section,title,reason
"Information Technology Act, 2000",3,Ins.,Amendment marker without statutory text (Ins./Subs.)
"Information Technology Act, 2000",4,Subs.,Amendment marker without statutory text (Ins./Subs.)
"Information Technology Act, 2000",20,"[Controller to act as repository.] Omitted by the Information Technology (Amendment) Act, 2008 (10 of 2009), s.",Omitted statutory provision
"Information Technology Act, 2000",49,"[Composition of Cyber Appellate Tribunal .]—Omitted by the Finance Act, 2017 (7 of 2017), s.",Omitted statutory provision
"Information Technology Act, 2000",50,[Qualifications for appointment as Chairperson and Members of Cyber Appellate Tribunal.]—Omitted by s.,Omitted statutory provision
"Information Technology Act, 2000",51,"[Term of office, conditions of service, etc., of Chairperson and Members .]—Omitted by s.",Omitted statutory provision
"Information Technology Act, 2000",52,"[Salary, allowances and other terms and conditions of service of Chairperson and Members.]—Omitted by s.",Omitted statutory provision
"Information Technology Act, 2000",52A,"[Powers of superintendence, direction, etc.]—Omitted by s.",Omitted statutory provision
"Information Technology Act, 2000",52B,[Distribution of business among Benches.]—Omitted by s.,Omitted statutory provision
"Information Technology Act, 2000",52C,[Power of Chairperson to transfer cases.]—Omitted by s.,Omitted statutory provision
"Information Technology Act, 2000",53,"[Filling up of vacancies .]—Omitted by the Finance Act, 2017 (7 of 2017), s.",Omitted statutory provision
"Information Technology Act, 2000",54,[Resignation and removal.]—Omitted by s.,Omitted statutory provision
"Information Technology Act, 2000",56,"[Staff of the Cyber Appellate Tribunal.]—Omitted by the Finance Act, 2017 (7 of 2017), s.",Omitted statutory provision
"Information Technology Act, 2000",91,"[Amendment of Act 45 of 1860.]—Omitted by the Information Technology (Amendment) Act, 2008 (10 of 2009), s.",Omitted statutory provision
"Information Technology Act, 2000",92,[Amendment of Act 1 of 1872.]—Omitted by s.,Omitted statutory provision
"Information Technology Act, 2000",93,[Amendment of Act 18 of 1891.]—Omitted by s.,Omitted statutory provision
"Information Technology Act, 2000",94,[Amendment of Act 2 of 1934.]—Omitted by s.,Omitted statutory provision
"Indian Contract Act, 1872",3,"Panth Piploda—see the Panth Piploda Law Regulation, 1929 (1 of 1929), s.",Corrupted / truncated title fragment
"Indian Contract Act, 1872",80,[Completion of sale of goods which the seller is to put into state in which buyer is to take them .] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",81,"[Completion of sale of goods, when seller has to do anything thereto in order to as certain price.] Rep.",Repealed statutory provision
"Indian Contract Act, 1872",82,"[Completion of sale, when goods are uncertained at date of contract.] Rep.",Repealed statutory provision
"Indian Contract Act, 1872",83,[Ascertainment of goods by subsequent appropriation.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",84,[Ascertainment of goods by seller’s selection.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",85,"[Transfer of ownership of mov eable property, when sold together with immov eable.] Rep.",Repealed statutory provision
"Indian Contract Act, 1872",86,[Buyer to bear loss after good have become his property.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",87,[Transfer of ownership of goods agreed to be sold while non existent.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",88,"[Contract to sell and deliver, at a future day , goods not in seller’s possession at date of contract.] Rep.",Repealed statutory provision
"Indian Contract Act, 1872",89,[Determination of price not fixed by contract.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",90,[Delivery how made.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",91,[Effect of delivery to wharfinger or carrier.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",92,[Effect of part-delivery.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",93,[Seller not bound to deliver until buyer applies for delivery.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",96,"[Lien where payment to be made at a future day, but no time fixed for delivery.] Rep.",Repealed statutory provision
"Indian Contract Act, 1872",97,"[Seller’s lien where payment to be made at future day, and buyer allows goods to remain in seller’s possession.] Rep.",Repealed statutory provision
"Indian Contract Act, 1872",98,[Seller’s lien against subsequent buyer.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",99,[Power of seller to stop in transit.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",101,[Continuance of right of stoppage.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",102,"[Cessation of right on assignment, by buyer, of document showing title.] Rep.",Repealed statutory provision
"Indian Contract Act, 1872",103,[How seller may stop where instrument of title assigned to secure specific advance.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",104,[Stoppage how effected.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",105,[Notice of seller’s claim.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",108,[Title conveyed by seller of goods to buyer.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",110,[Establishment of implied warranty of goodness or quality.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",111,[Warranty of soundness implied on sale of provisions.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",112,[Warranty of bulk implied on sale of goods by sample.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",114,[Warranty where goods ordered for a specified purpose.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",116,[Seller when not responsible for latent defects.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",117,[Buyer’s right on breach of warranty.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",118,[Right of buyer on breach of warranty in respect of goods not ascertained.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",119,"[When buyer may refused to accept, if goods not ordered are sent with goods ordered.]Rep.",Repealed statutory provision
"Indian Contract Act, 1872",120,[Effect of wrongful refusal to accept.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",121,"[Right of seller as to rescission, on failure of buyer to pay price at time fixed .] Rep.by the Indian Sale of Goods Act, 1930 (3 of 1930), s.65.",Repealed statutory provision
"Indian Contract Act, 1872",122,[Sale and transfer of lots sold by auction.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",239,[‘Partnership’ defined.] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",240,[Lender not a partner by advancing money for share of profits .] Rep.,Repealed statutory provision
"Indian Contract Act, 1872",241,"[Property left in business by retiring partner, or decreased partner’s preventative.] Rep.",Repealed statutory provision
"Indian Contract Act, 1872",242,"[Servant or agent remunerated by share of profits, not a partner .] Rep.",Repealed statutory provision
"Indian Contract Act, 1872",243,"[Widow or child of deceased partner receiving annuity out of profits, not a partner.] Rep.",Repealed statutory provision
"Indian Contract Act, 1872",244,"[Person receiving portion of profits for sale of good -will, no a partner .] Rep.",Repealed statutory provision
